label,flattened_images
angry,[217 217 217 ...  55  55  55]
angry,[54 54 54 ... 34 34 34]
angry,[0 0 0 ... 0 0 0]
angry,[153 153 153 ...  83  83  83]
angry,[1 1 1 ... 0 0 0]
angry,[111 111 111 ... 245 245 245]
angry,[72 72 72 ... 87 87 87]
angry,[117 117 117 ... 179 179 179]
angry,[101 101 101 ... 167 167 167]
angry,[ 61  61  61 ... 117 117 117]
angry,[126 126 126 ... 141 141 141]
angry,[ 88  88  88 ... 121 121 121]
angry,[ 67  67  67 ... 254 254 254]
angry,[193 193 193 ...   3   3   3]
angry,[252 252 252 ... 253 253 253]
angry,[172 172 172 ...  16  16  16]
angry,[192 192 192 ...  72  72  72]
angry,[45 45 45 ... 17 17 17]
angry,[  0   0   0 ... 178 178 178]
angry,[73 73 73 ... 17 17 17]
angry,[255 255 255 ...  51  51  51]
angry,[209 209 209 ... 178 178 178]
angry,[142 142 142 ...  48  48  48]
angry,[ 42  42  42 ... 209 209 209]
angry,[138 138 138 ...  12  12  12]
angry,[234 234 234 ... 124 124 124]
angry,[153 153 153 ...  14  14  14]
angry,[254 254 254 ... 178 178 178]
angry,[173 173 173 ... 133 133 133]
angry,[122 122 122 ... 115 115 115]
angry,[249 249 249 ... 152 152 152]
angry,[ 28  28  28 ... 254 254 254]
angry,[19 19 19 ... 27 27 27]
angry,[ 55  55  55 ... 240 240 240]
angry,[167 167 167 ...  87  87  87]
angry,[82 82 82 ... 36 36 36]
angry,[76 76 76 ...  9  9  9]
angry,[247 247 247 ... 255 255 255]
angry,[ 65  65  65 ... 233 233 233]
angry,[36 36 36 ... 38 38 38]
angry,[247 247 247 ... 167 167 167]
angry,[ 25  25  25 ... 255 255 255]
angry,[78 78 78 ... 57 57 57]
angry,[ 20  20  20 ... 198 198 198]
angry,[135 135 135 ... 194 194 194]
angry,[ 16  16  16 ... 173 173 173]
angry,[ 68  68  68 ... 102 102 102]
angry,[154 154 154 ... 162 162 162]
angry,[253 253 253 ... 255 255 255]
angry,[33 33 33 ... 46 46 46]
angry,[ 46  46  46 ... 176 176 176]
angry,[220 220 220 ... 177 177 177]
angry,[253 253 253 ...  47  47  47]
angry,[255 255 255 ... 255 255 255]
angry,[ 62  62  62 ... 185 185 185]
angry,[ 68  68  68 ... 112 112 112]
angry,[40 40 40 ...  0  0  0]
angry,[103 103 103 ... 234 234 234]
angry,[ 58  58  58 ... 124 124 124]
angry,[81 81 81 ... 68 68 68]
angry,[ 21  21  21 ... 224 224 224]
angry,[167 167 167 ...  44  44  44]
angry,[ 70  70  70 ... 135 135 135]
angry,[58 58 58 ... 36 36 36]
angry,[210 210 210 ...  80  80  80]
angry,[128 128 128 ...  29  29  29]
angry,[ 11  11  11 ... 119 119 119]
angry,[92 92 92 ... 42 42 42]
angry,[141 141 141 ...  40  40  40]
angry,[189 189 189 ... 193 193 193]
angry,[41 41 41 ... 90 90 90]
angry,[47 47 47 ... 52 52 52]
angry,[0 0 0 ... 0 0 0]
angry,[156 156 156 ... 104 104 104]
angry,[102 102 102 ...  53  53  53]
angry,[124 124 124 ... 133 133 133]
angry,[52 52 52 ... 44 44 44]
angry,[189 189 189 ... 169 169 169]
angry,[137 137 137 ... 183 183 183]
angry,[74 74 74 ...  6  6  6]
angry,[ 29  29  29 ... 220 220 220]
angry,[55 55 55 ... 67 67 67]
angry,[35 35 35 ...  4  4  4]
angry,[71 71 71 ... 32 32 32]
angry,[227 227 227 ... 121 121 121]
angry,[59 59 59 ... 79 79 79]
angry,[17 17 17 ... 42 42 42]
angry,[87 87 87 ... 72 72 72]
angry,[232 232 232 ... 238 238 238]
angry,[4 4 4 ... 9 9 9]
angry,[ 39  39  39 ... 188 188 188]
angry,[10 10 10 ... 35 35 35]
angry,[26 26 26 ...  8  8  8]
angry,[15 15 15 ...  5  5  5]
angry,[77 77 77 ... 13 13 13]
angry,[1 1 1 ... 0 0 0]
angry,[148 148 148 ... 106 106 106]
angry,[30 30 30 ... 21 21 21]
angry,[45 45 45 ... 46 46 46]
angry,[ 19  19  19 ... 144 144 144]
angry,[107 107 107 ... 115 115 115]
angry,[0 0 0 ... 0 0 0]
angry,[56 56 56 ... 63 63 63]
angry,[251 251 251 ... 158 158 158]
angry,[ 59  59  59 ... 180 180 180]
angry,[84 84 84 ... 36 36 36]
angry,[ 19  19  19 ... 202 202 202]
angry,[ 78  78  78 ... 248 248 248]
angry,[110 110 110 ...   9   9   9]
angry,[133 133 133 ...   5   5   5]
angry,[241 241 241 ...  87  87  87]
angry,[135 135 135 ...  30  30  30]
angry,[46 46 46 ... 16 16 16]
angry,[120 120 120 ...  15  15  15]
angry,[128 128 128 ...  78  78  78]
angry,[102 102 102 ...  59  59  59]
angry,[169 169 169 ... 159 159 159]
angry,[22 22 22 ... 47 47 47]
angry,[136 136 136 ... 255 255 255]
angry,[255 255 255 ... 212 212 212]
angry,[ 80  80  80 ... 119 119 119]
angry,[0 0 0 ... 0 0 0]
angry,[104 104 104 ...  88  88  88]
angry,[53 53 53 ... 28 28 28]
angry,[14 14 14 ...  4  4  4]
angry,[ 54  54  54 ... 253 253 253]
angry,[40 40 40 ... 54 54 54]
angry,[162 162 162 ... 139 139 139]
angry,[190 190 190 ...  79  79  79]
angry,[50 50 50 ... 83 83 83]
angry,[113 113 113 ...  57  57  57]
angry,[  2   2   2 ... 233 233 233]
angry,[ 0  0  0 ... 34 34 34]
angry,[165 165 165 ...  19  19  19]
angry,[11 11 11 ... 92 92 92]
angry,[169 169 169 ...  36  36  36]
angry,[ 22  22  22 ... 180 180 180]
angry,[46 46 46 ... 17 17 17]
angry,[  7   7   7 ... 102 102 102]
angry,[  6   6   6 ... 253 253 253]
angry,[158 158 158 ...   0   0   0]
angry,[29 29 29 ... 80 80 80]
angry,[ 70  70  70 ... 131 131 131]
angry,[ 3  3  3 ... 84 84 84]
angry,[84 84 84 ...  3  3  3]
angry,[ 46  46  46 ... 223 223 223]
angry,[237 237 237 ...  12  12  12]
angry,[68 68 68 ...  8  8  8]
angry,[231 231 231 ... 118 118 118]
angry,[210 210 210 ...  90  90  90]
angry,[10 10 10 ...  0  0  0]
angry,[214 214 214 ...  45  45  45]
angry,[252 252 252 ... 122 122 122]
angry,[ 72  72  72 ... 135 135 135]
angry,[84 84 84 ... 79 79 79]
angry,[ 53  53  53 ... 146 146 146]
angry,[34 34 34 ... 51 51 51]
angry,[60 60 60 ... 87 87 87]
angry,[91 91 91 ... 55 55 55]
angry,[105 105 105 ... 193 193 193]
angry,[240 240 240 ...  34  34  34]
angry,[ 88  88  88 ... 159 159 159]
angry,[ 94  94  94 ... 132 132 132]
angry,[255 255 255 ... 253 253 253]
angry,[230 230 230 ...   0   0   0]
angry,[247 247 247 ... 255 255 255]
angry,[  2   2   2 ... 163 163 163]
angry,[133 133 133 ... 135 135 135]
angry,[78 78 78 ... 44 44 44]
angry,[ 79  79  79 ... 164 164 164]
angry,[157 157 157 ... 149 149 149]
angry,[150 150 150 ...  46  46  46]
angry,[150 150 150 ... 133 133 133]
angry,[255 255 255 ... 247 247 247]
angry,[101 101 101 ... 248 248 248]
angry,[ 91  91  91 ... 250 250 250]
angry,[147 147 147 ... 191 191 191]
angry,[24 24 24 ... 37 37 37]
angry,[ 40  40  40 ... 168 168 168]
angry,[247 247 247 ... 255 255 255]
angry,[3 3 3 ... 0 0 0]
angry,[196 196 196 ... 228 228 228]
angry,[158 158 158 ... 112 112 112]
angry,[179 179 179 ...  63  63  63]
angry,[135 135 135 ...  73  73  73]
angry,[ 78  78  78 ... 158 158 158]
angry,[255 255 255 ... 233 233 233]
angry,[253 253 253 ...  52  52  52]
angry,[41 41 41 ... 56 56 56]
angry,[124 124 124 ... 204 204 204]
angry,[ 85  85  85 ... 151 151 151]
angry,[254 254 254 ...  87  87  87]
angry,[179 179 179 ...  24  24  24]
angry,[  0   0   0 ... 255 255 255]
angry,[202 202 202 ...  54  54  54]
angry,[213 213 213 ... 213 213 213]
angry,[47 47 47 ... 70 70 70]
angry,[25 25 25 ...  0  0  0]
angry,[107 107 107 ...  46  46  46]
angry,[136 136 136 ... 232 232 232]
angry,[48 48 48 ... 64 64 64]
angry,[45 45 45 ... 60 60 60]
angry,[3 3 3 ... 4 4 4]
angry,[239 239 239 ... 197 197 197]
angry,[204 204 204 ... 202 202 202]
angry,[33 33 33 ... 35 35 35]
angry,[130 130 130 ... 125 125 125]
angry,[42 42 42 ... 10 10 10]
angry,[ 42  42  42 ... 228 228 228]
angry,[35 35 35 ... 51 51 51]
angry,[245 245 245 ... 123 123 123]
angry,[ 14  14  14 ... 156 156 156]
angry,[246 246 246 ...  84  84  84]
angry,[178 178 178 ...  61  61  61]
angry,[109 109 109 ...  94  94  94]
angry,[129 129 129 ...  91  91  91]
angry,[42 42 42 ... 13 13 13]
angry,[ 28  28  28 ... 114 114 114]
angry,[218 218 218 ...  90  90  90]
angry,[173 173 173 ...   0   0   0]
angry,[251 251 251 ... 149 149 149]
angry,[52 52 52 ... 27 27 27]
angry,[34 34 34 ... 70 70 70]
angry,[212 212 212 ... 115 115 115]
angry,[ 28  28  28 ... 157 157 157]
angry,[254 254 254 ... 219 219 219]
angry,[  8   8   8 ... 111 111 111]
angry,[221 221 221 ...  64  64  64]
angry,[22 22 22 ...  5  5  5]
angry,[ 16  16  16 ... 172 172 172]
angry,[255 255 255 ... 245 245 245]
angry,[19 19 19 ...  1  1  1]
angry,[0 0 0 ... 1 1 1]
angry,[80 80 80 ... 46 46 46]
angry,[ 72  72  72 ... 226 226 226]
angry,[139 139 139 ...  98  98  98]
angry,[148 148 148 ...  90  90  90]
angry,[135 135 135 ... 165 165 165]
angry,[63 63 63 ...  7  7  7]
angry,[1 1 1 ... 0 0 0]
angry,[31 31 31 ... 54 54 54]
angry,[170 170 170 ...  28  28  28]
angry,[ 87  87  87 ... 228 228 228]
angry,[33 33 33 ... 26 26 26]
angry,[128 128 128 ... 135 135 135]
angry,[ 3  3  3 ... 98 98 98]
angry,[85 85 85 ... 52 52 52]
angry,[180 180 180 ...  47  47  47]
angry,[228 228 228 ... 111 111 111]
angry,[25 25 25 ...  7  7  7]
angry,[251 251 251 ... 249 249 249]
angry,[255 255 255 ... 157 157 157]
angry,[123 123 123 ... 151 151 151]
angry,[179 179 179 ... 196 196 196]
angry,[254 254 254 ...  45  45  45]
angry,[129 129 129 ... 114 114 114]
angry,[ 66  66  66 ... 162 162 162]
angry,[ 3  3  3 ... 15 15 15]
angry,[188 188 188 ... 242 242 242]
angry,[243 243 243 ...  62  62  62]
angry,[ 79  79  79 ... 223 223 223]
angry,[129 129 129 ...  18  18  18]
angry,[105 105 105 ... 148 148 148]
angry,[28 28 28 ... 64 64 64]
angry,[255 255 255 ...  45  45  45]
angry,[208 208 208 ...  21  21  21]
angry,[113 113 113 ...  13  13  13]
angry,[105 105 105 ...  28  28  28]
angry,[138 138 138 ...  44  44  44]
angry,[85 85 85 ... 78 78 78]
angry,[161 161 161 ... 215 215 215]
angry,[70 70 70 ...  3  3  3]
angry,[ 16  16  16 ... 222 222 222]
angry,[126 126 126 ...  49  49  49]
angry,[245 245 245 ...  15  15  15]
angry,[186 186 186 ...  38  38  38]
angry,[ 72  72  72 ... 110 110 110]
angry,[250 250 250 ... 220 220 220]
angry,[25 25 25 ... 12 12 12]
angry,[221 221 221 ... 114 114 114]
angry,[139 139 139 ...  10  10  10]
angry,[62 62 62 ... 18 18 18]
angry,[  0   0   0 ... 122 122 122]
angry,[41 41 41 ... 95 95 95]
angry,[88 88 88 ... 34 34 34]
angry,[201 201 201 ... 196 196 196]
angry,[255 255 255 ... 210 210 210]
angry,[200 200 200 ... 234 234 234]
angry,[106 106 106 ...  56  56  56]
angry,[235 235 235 ... 226 226 226]
angry,[ 58  58  58 ... 247 247 247]
angry,[54 54 54 ... 66 66 66]
angry,[ 90  90  90 ... 159 159 159]
angry,[ 7  7  7 ... 39 39 39]
angry,[ 90  90  90 ... 169 169 169]
angry,[253 253 253 ... 187 187 187]
angry,[224 224 224 ... 120 120 120]
angry,[ 11  11  11 ... 162 162 162]
angry,[97 97 97 ... 78 78 78]
angry,[59 59 59 ...  1  1  1]
angry,[254 254 254 ... 255 255 255]
angry,[181 181 181 ... 243 243 243]
angry,[0 0 0 ... 0 0 0]
angry,[178 178 178 ... 136 136 136]
angry,[ 49  49  49 ... 218 218 218]
angry,[141 141 141 ... 245 245 245]
angry,[199 199 199 ... 234 234 234]
angry,[159 159 159 ... 137 137 137]
angry,[ 80  80  80 ... 253 253 253]
angry,[ 98  98  98 ... 202 202 202]
angry,[171 171 171 ...  92  92  92]
angry,[114 114 114 ...  41  41  41]
angry,[126 126 126 ... 116 116 116]
angry,[151 151 151 ...  29  29  29]
angry,[ 9  9  9 ... 50 50 50]
angry,[  9   9   9 ... 177 177 177]
angry,[226 226 226 ...  30  30  30]
angry,[153 153 153 ... 108 108 108]
angry,[217 217 217 ...  16  16  16]
angry,[ 17  17  17 ... 236 236 236]
angry,[242 242 242 ... 172 172 172]
angry,[64 64 64 ... 17 17 17]
angry,[0 0 0 ... 0 0 0]
angry,[111 111 111 ... 184 184 184]
angry,[197 197 197 ...  51  51  51]
angry,[193 193 193 ...   1   1   1]
angry,[245 245 245 ...  35  35  35]
angry,[157 157 157 ... 117 117 117]
angry,[0 0 0 ... 0 0 0]
angry,[201 201 201 ...  77  77  77]
angry,[255 255 255 ... 255 255 255]
angry,[113 113 113 ... 173 173 173]
angry,[202 202 202 ... 219 219 219]
angry,[113 113 113 ... 129 129 129]
angry,[253 253 253 ... 160 160 160]
angry,[49 49 49 ... 80 80 80]
angry,[243 243 243 ...   5   5   5]
angry,[108 108 108 ...  67  67  67]
angry,[236 236 236 ...   7   7   7]
angry,[ 8  8  8 ... 11 11 11]
angry,[225 225 225 ... 204 204 204]
angry,[159 159 159 ...  64  64  64]
angry,[237 237 237 ...  48  48  48]
angry,[30 30 30 ... 76 76 76]
angry,[254 254 254 ... 177 177 177]
angry,[67 67 67 ... 95 95 95]
angry,[255 255 255 ...  25  25  25]
angry,[66 66 66 ... 76 76 76]
angry,[166 166 166 ...  13  13  13]
angry,[ 1  1  1 ... 70 70 70]
angry,[211 211 211 ... 237 237 237]
angry,[36 36 36 ... 11 11 11]
angry,[  6   6   6 ... 186 186 186]
angry,[219 219 219 ... 184 184 184]
angry,[143 143 143 ... 218 218 218]
angry,[  6   6   6 ... 206 206 206]
angry,[ 53  53  53 ... 247 247 247]
angry,[133 133 133 ...  82  82  82]
angry,[255 255 255 ... 220 220 220]
angry,[ 1  1  1 ... 43 43 43]
angry,[34 34 34 ... 88 88 88]
angry,[49 49 49 ... 60 60 60]
angry,[57 57 57 ... 49 49 49]
angry,[115 115 115 ... 165 165 165]
angry,[210 210 210 ... 231 231 231]
angry,[25 25 25 ... 29 29 29]
angry,[107 107 107 ... 255 255 255]
angry,[ 0  0  0 ... 28 28 28]
angry,[25 25 25 ... 50 50 50]
angry,[166 166 166 ... 174 174 174]
angry,[220 220 220 ... 246 246 246]
angry,[164 164 164 ... 139 139 139]
angry,[215 215 215 ... 232 232 232]
angry,[32 32 32 ...  0  0  0]
angry,[ 3  3  3 ... 10 10 10]
angry,[182 182 182 ...  44  44  44]
angry,[214 214 214 ...  54  54  54]
angry,[ 12  12  12 ... 145 145 145]
angry,[32 32 32 ... 10 10 10]
angry,[26 26 26 ... 12 12 12]
angry,[179 179 179 ...  71  71  71]
angry,[111 111 111 ...  22  22  22]
angry,[20 20 20 ... 53 53 53]
angry,[162 162 162 ... 158 158 158]
angry,[255 255 255 ...  31  31  31]
angry,[ 17  17  17 ... 162 162 162]
angry,[200 200 200 ...  75  75  75]
angry,[0 0 0 ... 0 0 0]
angry,[ 0  0  0 ... 30 30 30]
angry,[116 116 116 ... 255 255 255]
angry,[167 167 167 ... 124 124 124]
angry,[194 194 194 ... 233 233 233]
angry,[107 107 107 ... 114 114 114]
angry,[70 70 70 ... 28 28 28]
angry,[ 36  36  36 ... 236 236 236]
angry,[ 52  52  52 ... 152 152 152]
angry,[255 255 255 ... 254 254 254]
angry,[ 87  87  87 ... 148 148 148]
angry,[146 146 146 ...   1   1   1]
angry,[144 144 144 ...   0   0   0]
angry,[ 87  87  87 ... 240 240 240]
angry,[  3   3   3 ... 204 204 204]
angry,[ 4  4  4 ... 71 71 71]
angry,[  0   0   0 ... 222 222 222]
angry,[166 166 166 ... 177 177 177]
angry,[111 111 111 ... 243 243 243]
angry,[255 255 255 ... 238 238 238]
angry,[43 43 43 ... 39 39 39]
angry,[101 101 101 ... 167 167 167]
angry,[255 255 255 ... 226 226 226]
angry,[159 159 159 ...  96  96  96]
angry,[159 159 159 ... 144 144 144]
angry,[172 172 172 ...  71  71  71]
angry,[  2   2   2 ... 239 239 239]
angry,[71 71 71 ... 25 25 25]
angry,[87 87 87 ... 75 75 75]
angry,[ 18  18  18 ... 192 192 192]
angry,[227 227 227 ... 249 249 249]
angry,[218 218 218 ...  72  72  72]
angry,[84 84 84 ... 19 19 19]
angry,[149 149 149 ...  14  14  14]
angry,[ 4  4  4 ... 69 69 69]
angry,[71 71 71 ... 29 29 29]
angry,[210 210 210 ... 113 113 113]
angry,[103 103 103 ... 132 132 132]
angry,[72 72 72 ... 31 31 31]
angry,[ 85  85  85 ... 160 160 160]
angry,[ 1  1  1 ... 12 12 12]
angry,[104 104 104 ... 140 140 140]
angry,[13 13 13 ... 70 70 70]
angry,[56 56 56 ... 78 78 78]
angry,[106 106 106 ... 157 157 157]
angry,[108 108 108 ... 136 136 136]
angry,[50 50 50 ... 58 58 58]
angry,[ 30  30  30 ... 116 116 116]
angry,[234 234 234 ... 115 115 115]
angry,[235 235 235 ...  89  89  89]
angry,[ 93  93  93 ... 183 183 183]
angry,[192 192 192 ...  50  50  50]
angry,[138 138 138 ...  83  83  83]
angry,[ 68  68  68 ... 207 207 207]
angry,[44 44 44 ... 33 33 33]
angry,[174 174 174 ...  88  88  88]
angry,[252 252 252 ... 156 156 156]
angry,[163 163 163 ... 114 114 114]
angry,[227 227 227 ... 112 112 112]
angry,[128 128 128 ...  29  29  29]
angry,[ 27  27  27 ... 104 104 104]
angry,[42 42 42 ... 45 45 45]
angry,[230 230 230 ... 238 238 238]
angry,[185 185 185 ...  72  72  72]
angry,[70 70 70 ...  2  2  2]
angry,[249 249 249 ...  55  55  55]
angry,[ 3  3  3 ... 46 46 46]
angry,[255 255 255 ... 237 237 237]
angry,[ 68  68  68 ... 198 198 198]
angry,[251 251 251 ...  17  17  17]
angry,[21 21 21 ...  0  0  0]
angry,[ 30  30  30 ... 121 121 121]
angry,[ 11  11  11 ... 131 131 131]
angry,[201 201 201 ... 151 151 151]
angry,[  4   4   4 ... 181 181 181]
angry,[110 110 110 ...   4   4   4]
angry,[  6   6   6 ... 204 204 204]
angry,[189 189 189 ... 139 139 139]
angry,[15 15 15 ... 18 18 18]
angry,[96 96 96 ... 15 15 15]
angry,[ 97  97  97 ... 123 123 123]
angry,[ 32  32  32 ... 130 130 130]
angry,[29 29 29 ... 23 23 23]
angry,[220 220 220 ... 252 252 252]
angry,[ 63  63  63 ... 217 217 217]
angry,[255 255 255 ...  60  60  60]
angry,[4 4 4 ... 2 2 2]
angry,[34 34 34 ... 51 51 51]
angry,[255 255 255 ...   3   3   3]
angry,[153 153 153 ... 139 139 139]
angry,[ 47  47  47 ... 185 185 185]
angry,[100 100 100 ... 232 232 232]
angry,[112 112 112 ...   9   9   9]
angry,[129 129 129 ...  44  44  44]
angry,[186 186 186 ...  75  75  75]
angry,[ 22  22  22 ... 212 212 212]
angry,[255 255 255 ...   9   9   9]
angry,[136 136 136 ...  82  82  82]
angry,[ 23  23  23 ... 210 210 210]
angry,[ 93  93  93 ... 102 102 102]
angry,[ 5  5  5 ... 39 39 39]
angry,[63 63 63 ... 63 63 63]
angry,[174 174 174 ... 204 204 204]
angry,[255 255 255 ...   7   7   7]
angry,[253 253 253 ...  77  77  77]
angry,[86 86 86 ...  9  9  9]
angry,[79 79 79 ... 39 39 39]
angry,[101 101 101 ...  88  88  88]
angry,[ 84  84  84 ... 149 149 149]
angry,[168 168 168 ...  57  57  57]
angry,[238 238 238 ... 194 194 194]
angry,[197 197 197 ... 190 190 190]
angry,[42 42 42 ... 51 51 51]
angry,[245 245 245 ... 156 156 156]
angry,[240 240 240 ... 198 198 198]
angry,[38 38 38 ... 80 80 80]
angry,[251 251 251 ... 226 226 226]
angry,[ 98  98  98 ... 132 132 132]
angry,[229 229 229 ... 145 145 145]
angry,[ 67  67  67 ... 124 124 124]
angry,[ 89  89  89 ... 207 207 207]
angry,[255 255 255 ...  30  30  30]
angry,[13 13 13 ... 43 43 43]
angry,[108 108 108 ... 180 180 180]
angry,[227 227 227 ... 196 196 196]
angry,[179 179 179 ...  26  26  26]
angry,[106 106 106 ... 163 163 163]
angry,[242 242 242 ... 246 246 246]
angry,[ 63  63  63 ... 114 114 114]
angry,[165 165 165 ...  69  69  69]
angry,[20 20 20 ... 39 39 39]
angry,[ 14  14  14 ... 216 216 216]
angry,[  7   7   7 ... 248 248 248]
angry,[35 35 35 ... 13 13 13]
angry,[37 37 37 ... 19 19 19]
angry,[ 57  57  57 ... 168 168 168]
angry,[ 66  66  66 ... 116 116 116]
angry,[108 108 108 ...   7   7   7]
angry,[122 122 122 ...  51  51  51]
angry,[191 191 191 ...  94  94  94]
angry,[46 46 46 ... 28 28 28]
angry,[79 79 79 ... 18 18 18]
angry,[169 169 169 ... 209 209 209]
angry,[84 84 84 ... 11 11 11]
angry,[235 235 235 ...  99  99  99]
angry,[151 151 151 ...  14  14  14]
angry,[100 100 100 ... 212 212 212]
angry,[255 255 255 ... 255 255 255]
angry,[23 23 23 ... 46 46 46]
angry,[59 59 59 ... 40 40 40]
angry,[ 74  74  74 ... 129 129 129]
angry,[176 176 176 ... 134 134 134]
angry,[182 182 182 ... 180 180 180]
angry,[226 226 226 ...  41  41  41]
angry,[95 95 95 ... 96 96 96]
angry,[ 93  93  93 ... 149 149 149]
angry,[206 206 206 ... 230 230 230]
angry,[220 220 220 ...  33  33  33]
angry,[63 63 63 ...  6  6  6]
angry,[208 208 208 ... 216 216 216]
angry,[192 192 192 ... 209 209 209]
angry,[ 3  3  3 ... 76 76 76]
angry,[214 214 214 ... 209 209 209]
angry,[194 194 194 ... 194 194 194]
angry,[200 200 200 ... 146 146 146]
angry,[ 13  13  13 ... 151 151 151]
angry,[ 49  49  49 ... 102 102 102]
angry,[240 240 240 ... 130 130 130]
angry,[101 101 101 ...  57  57  57]
angry,[196 196 196 ...  39  39  39]
angry,[16 16 16 ... 16 16 16]
angry,[27 27 27 ... 33 33 33]
angry,[ 24  24  24 ... 156 156 156]
angry,[ 40  40  40 ... 141 141 141]
angry,[152 152 152 ...  87  87  87]
angry,[254 254 254 ... 233 233 233]
angry,[86 86 86 ... 74 74 74]
angry,[ 9  9  9 ... 95 95 95]
angry,[ 23  23  23 ... 136 136 136]
angry,[253 253 253 ... 190 190 190]
angry,[121 121 121 ...  66  66  66]
angry,[167 167 167 ...  42  42  42]
angry,[ 68  68  68 ... 223 223 223]
angry,[144 144 144 ...  12  12  12]
angry,[ 21  21  21 ... 143 143 143]
angry,[ 66  66  66 ... 172 172 172]
angry,[46 46 46 ... 23 23 23]
angry,[236 236 236 ...  63  63  63]
angry,[68 68 68 ... 17 17 17]
angry,[113 113 113 ...  58  58  58]
angry,[243 243 243 ... 103 103 103]
angry,[ 30  30  30 ... 244 244 244]
angry,[55 55 55 ... 72 72 72]
angry,[37 37 37 ... 19 19 19]
angry,[31 31 31 ... 32 32 32]
angry,[115 115 115 ...  46  46  46]
angry,[18 18 18 ... 14 14 14]
angry,[3 3 3 ... 9 9 9]
angry,[255 255 255 ...  47  47  47]
angry,[63 63 63 ... 31 31 31]
angry,[16 16 16 ... 73 73 73]
angry,[88 88 88 ... 91 91 91]
angry,[ 81  81  81 ... 126 126 126]
angry,[59 59 59 ... 63 63 63]
angry,[201 201 201 ... 207 207 207]
